term,pop,exposure_prob,n_per_hhold,est_mean,se_mean,est_sd,nsim
beta_0,exposed,0.1,1,-5.226126332045009,1.1425746379465016,1.2113742537828107,10000
beta_0,exposed,0.1,4,-5.217301914558964,1.1436554866543442,1.221278160836321,10000
beta_0,exposed,0.2,1,-5.11212097849182,0.7809282662217888,0.8340842449884216,10000
beta_0,exposed,0.2,4,-5.110332157104027,0.7789098997345634,0.8006853229531544,10000
beta_0,exposed,0.30000000000000004,1,-5.068780164170753,0.626271864073185,0.63501498295255,10000
beta_0,exposed,0.30000000000000004,4,-5.071002461296524,0.6355023994308252,0.6537414946095986,10000
beta_0,exposed,0.4,1,-5.04600757625215,0.5412211422140317,0.5555570550788563,10000
beta_0,exposed,0.4,4,-5.053759069936215,0.5398830019911562,0.5578883941766152,10000
beta_0,exposed,0.5,1,-5.038448499307764,0.4826447132283442,0.5018219057629494,10000
beta_0,exposed,0.5,4,-5.040701514485483,0.4993722845034073,0.7883062842170396,10000
beta_0,exposed,0.6,1,-5.038444828567784,0.43951982431450065,0.45020159493088835,10000
beta_0,exposed,0.6,4,-5.023288325537903,0.4370976178537997,0.4412240084978147,10000
beta_0,exposed,0.7000000000000001,1,-5.0228697001457006,0.40707190390187303,0.4237361937424338,10000
beta_0,exposed,0.7000000000000001,4,-5.03025001192188,0.4098312223451034,0.4317698623287483,9686
beta_0,exposed,0.8,1,-5.025673874175695,0.3785440523823851,0.37528798348060477,10000
beta_0,exposed,0.8,4,-5.029359701383752,0.3831247528250697,0.39424158852382923,10000
beta_0,exposed,0.9,1,-5.029173840981595,0.3577738888631629,0.3918560939125214,10000
beta_0,exposed,0.9,4,-5.026983860779198,0.356556925051957,0.35964461778973267,10000
beta_0,exposed,1,1,-5.020313491123033,0.3377199510175826,0.33846323762993086,10000
beta_0,exposed,1,4,-5.021205798877464,0.3377398097130148,0.33726446037200175,10000
beta_0,exposed_meas,0.1,4,-5.406239708002028,1.2009671790776355,1.3048332618057044,10000
beta_0,exposed_meas,0.2,4,-5.286844016395966,0.8154702102083284,0.8372815431179396,10000
beta_0,exposed_meas,0.30000000000000004,4,-5.241415297078993,0.6554856522480549,0.6763279686660264,10000
beta_0,exposed_meas,0.4,4,-5.225489389917424,0.5674373828759932,0.6089916311122074,10000
beta_0,exposed_meas,0.5,4,-5.204740752069909,0.5018778066064092,0.507741773080311,10000
beta_0,exposed_meas,0.6,4,-5.193255294256706,0.45866128954347757,0.4779259548442275,10000
beta_0,exposed_meas,0.7000000000000001,4,-5.195315982911369,0.4255291932384049,0.43054796639417564,9686
beta_0,exposed_meas,0.8,4,-5.194522789710446,0.39432581590501314,0.3937949738176605,10000
beta_0,exposed_meas,0.9,4,-5.191866853010967,0.37151059612601056,0.3729628368846991,10000
beta_0,exposed_meas,1,4,-5.187192425374528,0.3519066992780772,0.3528916441636268,10000
beta_0,general,0.1,1,-5.306992236798339,1.37212662954659,1.4643979065767239,10000
beta_0,general,0.1,4,-5.291720059321971,1.3754106820620613,1.5034124844981098,10000
beta_0,general,0.2,1,-5.147445714485162,0.9118343325768808,0.979150005799256,10000
beta_0,general,0.2,4,-5.145721823925645,0.9489358592299784,0.9420247986816876,10000
beta_0,general,0.30000000000000004,1,-5.085878281760164,0.7168111484297717,0.7285735875017889,10000
beta_0,general,0.30000000000000004,4,-5.087809473462973,0.7218640177086831,0.7500755015316007,10000
beta_0,general,0.4,1,-5.058157668398253,0.6116030572784373,0.6361612904241638,10000
beta_0,general,0.4,4,-5.067662788376258,0.6168226796309589,0.6380929474336781,10000
beta_0,general,0.5,1,-5.0443164898908055,0.5394448349444074,0.5733717861657982,10000
beta_0,general,0.5,4,-5.040789569162171,0.5309253658358353,0.5343615120842221,10000
beta_0,general,0.6,1,-5.043630613078598,0.47699008634122575,0.49446297202041084,10000
beta_0,general,0.6,4,-5.0318374897144675,0.47931362836387664,0.5001737178988245,10000
beta_0,general,0.7000000000000001,1,-5.029899737291412,0.4374135096171728,0.5030816943986475,10000
beta_0,general,0.7000000000000001,4,-5.034707642110659,0.43856755896562083,0.5210997169877187,9686
beta_0,general,0.8,1,-5.027022077722732,0.39531820071201146,0.3926200014497288,10000
beta_0,general,0.8,4,-5.028539990905537,0.395125210041962,0.39243284882566065,10000
beta_0,general,0.9,1,-5.028150742703732,0.36472131028015825,0.37060243799842385,10000
beta_0,general,0.9,4,-5.027211877447973,0.3646746699271437,0.36736503424941747,10000
beta_0,general,1,1,-5.020313491123033,0.3377199510175826,0.33846323762993086,10000
beta_0,general,1,4,-5.021205798877464,0.3377398097130148,0.33726446037200175,10000
beta_logTitre,exposed,0.1,1,1.562773777805373,0.29625034755831464,0.3174003322129264,10000
beta_logTitre,exposed,0.1,4,1.5623366478001526,0.29673820609099416,0.3179382761740989,10000
beta_logTitre,exposed,0.2,1,1.5303782715865313,0.20272319279872578,0.22718220332952063,10000
beta_logTitre,exposed,0.2,4,1.5309015598354232,0.2020074805737882,0.20739832289411203,10000
beta_logTitre,exposed,0.30000000000000004,1,1.5192790467333086,0.16253895899269188,0.16966016698005798,10000
beta_logTitre,exposed,0.30000000000000004,4,1.518058617547181,0.16414317882612844,0.18226389679462773,10000
beta_logTitre,exposed,0.4,1,1.51262385216256,0.14013186532074806,0.1470501089200561,10000
beta_logTitre,exposed,0.4,4,1.5155381145535975,0.1401481220837427,0.14891831854024076,10000
beta_logTitre,exposed,0.5,1,1.5100281805582108,0.12517146578529764,0.13793068045585702,10000
beta_logTitre,exposed,0.5,4,1.5085416999531278,0.12937067982775943,0.2218661056518939,10000
beta_logTitre,exposed,0.6,1,1.5096972253102612,0.1139930208975579,0.12444003938017574,10000
beta_logTitre,exposed,0.6,4,1.5068449559448565,0.11340271781467377,0.11427824914759985,10000
beta_logTitre,exposed,0.7000000000000001,1,1.5056728550075282,0.10546924363106784,0.11749014007033025,10000
beta_logTitre,exposed,0.7000000000000001,4,1.5071948788483793,0.10594920992935085,0.1202099998416455,9686
beta_logTitre,exposed,0.8,1,1.5071913667429921,0.09822040570877319,0.0975355138595761,10000
beta_logTitre,exposed,0.8,4,1.507795860378232,0.09905494846384853,0.10783232157676241,10000
beta_logTitre,exposed,0.9,1,1.50721803458177,0.09284328843123961,0.11428467484793892,10000
beta_logTitre,exposed,0.9,4,1.5075243438983037,0.09252450907424055,0.09365916181302851,10000
beta_logTitre,exposed,1,1,1.5057042869163102,0.08763698087239458,0.08777729260383237,10000
beta_logTitre,exposed,1,4,1.5059190532242825,0.08763857531067036,0.08722889934644242,10000
beta_logTitre,exposed_meas,0.1,4,1.5674946186083747,0.3102430912156634,0.3404250613078952,10000
beta_logTitre,exposed_meas,0.2,4,1.5327776365633534,0.21067857745778648,0.22343238004308477,10000
beta_logTitre,exposed_meas,0.30000000000000004,4,1.5204518889302514,0.16936500515461947,0.18226837170279095,10000
beta_logTitre,exposed_meas,0.4,4,1.5165713346371335,0.14650825402186285,0.1648039892705072,10000
beta_logTitre,exposed_meas,0.5,4,1.511196544149134,0.12967702165396902,0.1354318678119666,10000
beta_logTitre,exposed_meas,0.6,4,1.5071336289929536,0.11843026786681327,0.13093990591028054,10000
beta_logTitre,exposed_meas,0.7000000000000001,4,1.5079961086940483,0.10953347420444577,0.11465723841476612,9686
beta_logTitre,exposed_meas,0.8,4,1.508532453181121,0.10193299145090633,0.10176803006413249,10000
beta_logTitre,exposed_meas,0.9,4,1.5074987581708654,0.09602079760710412,0.09663157149877855,10000
beta_logTitre,exposed_meas,1,4,1.5061669641139268,0.09094913932711429,0.09083642358940391,10000
beta_logTitre,general,0.1,1,1.581323070610244,0.34460489274330025,0.3819217011847425,10000
beta_logTitre,general,0.1,4,1.5787470947642273,0.3456050013169276,0.3929554143479568,10000
beta_logTitre,general,0.2,1,1.537515003728265,0.2297172762446306,0.26921347193523515,10000
beta_logTitre,general,0.2,4,1.5378677026368481,0.2304897488013013,0.2475250110043399,10000
beta_logTitre,general,0.30000000000000004,1,1.523022017432893,0.18107912655155453,0.1929204796690041,10000
beta_logTitre,general,0.30000000000000004,4,1.5217948851178693,0.18214745266238283,0.20591458187908418,10000
beta_logTitre,general,0.4,1,1.5137918662299361,0.15476994117235113,0.17942806667065805,10000
beta_logTitre,general,0.4,4,1.5176922200658696,0.15550010744322065,0.17211598091656385,10000
beta_logTitre,general,0.5,1,1.5101283882099283,0.13670242842665364,0.16259455215874175,10000
beta_logTitre,general,0.5,4,1.5121484256082722,0.13500313086639953,0.13623233747788466,10000
beta_logTitre,general,0.6,1,1.5108570552537206,0.12166419904084501,0.13531467190729635,10000
beta_logTitre,general,0.6,4,1.5074718848896222,0.12202487844595367,0.13922175997382244,10000
beta_logTitre,general,0.7000000000000001,1,1.504502334697602,0.11173188678984892,0.1572195168723096,10000
beta_logTitre,general,0.7000000000000001,4,1.5067359167097827,0.11206769835494661,0.15538963258985483,9686
beta_logTitre,general,0.8,1,1.5075477244397015,0.10164774221265317,0.101144583421231,10000
beta_logTitre,general,0.8,4,1.5083356677228439,0.10162440995746817,0.10085045757887905,10000
beta_logTitre,general,0.9,1,1.5080114647464142,0.09420828236098015,0.09567722577357349,10000
beta_logTitre,general,0.9,4,1.507575750383949,0.09418413778084968,0.0951828514280465,10000
beta_logTitre,general,1,1,1.5057042869163102,0.08763698087239458,0.08777729260383237,10000
